timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251129T111146.00-0300,-29.202454,-50.898541,7.56,12,843.30,0.58
20251129T111147.00-0300,-29.202468,-50.898527,7.32,12,843.10,0.58
20251129T111148.00-0300,-29.202483,-50.898513,7.43,12,842.90,0.58
20251129T111149.00-0300,-29.202497,-50.898498,7.85,12,842.70,0.58
20251129T111150.00-0300,-29.202512,-50.898484,7.26,12,842.40,0.58
20251129T111151.00-0300,-29.202526,-50.898468,7.89,12,842.00,0.58
20251129T111152.00-0300,-29.202541,-50.898455,7.24,12,841.80,0.58
20251129T111153.00-0300,-29.202555,-50.898440,7.06,12,841.60,0.58
20251129T111154.00-0300,-29.202569,-50.898427,7.02,12,841.20,0.58
20251129T111155.00-0300,-29.202582,-50.898413,7.30,12,840.80,0.58
20251129T111156.00-0300,-29.202596,-50.898399,7.39,12,840.40,0.58
20251129T111157.00-0300,-29.202610,-50.898384,7.15,12,840.20,0.58
20251129T111158.00-0300,-29.202624,-50.898370,7.41,12,839.80,0.58
20251129T111159.00-0300,-29.202637,-50.898356,7.09,12,839.40,0.58
20251129T111200.00-0300,-29.202651,-50.898342,7.26,12,839.10,0.58
20251129T111201.00-0300,-29.202668,-50.898325,9.63,12,838.70,0.58
20251129T111202.00-0300,-29.202688,-50.898304,11.43,12,838.10,0.58
20251129T111203.00-0300,-29.202710,-50.898280,11.85,12,837.60,0.58
20251129T111204.00-0300,-29.202731,-50.898255,12.33,12,837.20,0.58
20251129T111205.00-0300,-29.202753,-50.898232,11.85,12,837.00,0.58
20251129T111206.00-0300,-29.202775,-50.898211,11.07,12,836.70,0.58
20251129T111207.00-0300,-29.202795,-50.898190,11.19,12,836.50,0.58
20251129T111208.00-0300,-29.202816,-50.898170,10.95,12,836.30,0.60
20251129T111209.00-0300,-29.202835,-50.898148,11.09,12,836.40,0.58
20251129T111210.00-0300,-29.202855,-50.898125,10.98,12,836.50,0.58
20251129T111212.00-0300,-29.202893,-50.898083,10.35,12,836.80,0.58
20251129T111213.00-0300,-29.202912,-50.898063,10.57,12,837.10,0.58
20251129T111214.00-0300,-29.202930,-50.898043,9.70,12,837.40,0.58
20251129T111215.00-0300,-29.202947,-50.898023,9.91,12,837.70,0.58
20251129T111216.00-0300,-29.202965,-50.898003,10.24,12,838.50,0.66
20251129T111217.00-0300,-29.202984,-50.897984,10.28,12,838.70,0.66
20251129T111218.00-0300,-29.203005,-50.897965,10.91,12,839.00,0.58
20251129T111219.00-0300,-29.203026,-50.897945,10.95,12,839.10,0.58
20251129T111220.00-0300,-29.203048,-50.897925,11.24,12,839.00,0.58
20251129T111221.00-0300,-29.203070,-50.897904,11.50,12,838.80,0.58
20251129T111222.00-0300,-29.203092,-50.897881,11.93,12,838.50,0.58
20251129T111223.00-0300,-29.203113,-50.897858,11.85,12,838.30,0.58
20251129T111224.00-0300,-29.203135,-50.897836,11.30,12,838.20,0.58
20251129T111225.00-0300,-29.203156,-50.897814,11.37,12,838.00,0.58
20251129T111226.00-0300,-29.203177,-50.897792,11.41,12,838.00,0.58
20251129T111227.00-0300,-29.203200,-50.897771,11.39,12,837.90,0.58
20251129T111228.00-0300,-29.203222,-50.897750,11.78,12,838.00,0.58
20251129T111229.00-0300,-29.203245,-50.897728,11.82,12,838.00,0.58
20251129T111230.00-0300,-29.203268,-50.897707,11.56,12,838.10,0.58
20251129T111231.00-0300,-29.203290,-50.897687,11.13,12,838.20,0.58
20251129T111232.00-0300,-29.203311,-50.897667,10.96,12,838.40,0.58
20251129T111233.00-0300,-29.203332,-50.897646,11.22,12,839.00,0.58
20251129T111234.00-0300,-29.203354,-50.897625,11.59,12,839.50,0.58
20251129T111235.00-0300,-29.203377,-50.897604,11.41,12,840.20,0.58
20251129T111236.00-0300,-29.203400,-50.897584,11.57,12,840.60,0.58
