timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251126T173705.00-0300,-29.205795,-50.897307,0.56,7,851.20,1.29
20251126T173706.00-0300,-29.205821,-50.897318,0.28,11,843.50,0.83
20251126T173707.00-0300,-29.205807,-50.897316,0.17,12,839.80,0.69
20251126T173708.00-0300,-29.205797,-50.897315,0.06,12,838.70,0.69
20251126T173709.00-0300,-29.205794,-50.897317,0.22,12,837.60,0.69
20251126T173710.00-0300,-29.205794,-50.897318,0.02,12,837.00,0.69
20251126T173711.00-0300,-29.205795,-50.897318,0.04,12,836.90,0.69
20251126T173712.00-0300,-29.205796,-50.897320,0.02,12,836.60,0.69
20251126T173713.00-0300,-29.205792,-50.897319,0.07,12,836.40,0.69
20251126T173714.00-0300,-29.205792,-50.897320,0.00,12,836.20,0.69
20251126T173715.00-0300,-29.205791,-50.897321,0.04,12,835.90,0.69
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251127T073807.00-0300,-29.206609,-50.896580,0.02,5,951.30,1.29
20251127T073808.00-0300,-29.206610,-50.896580,0.22,5,949.50,1.29
20251127T073809.00-0300,-29.206609,-50.896579,0.13,5,947.10,1.29
20251127T073810.00-0300,-29.206610,-50.896578,0.07,5,943.70,1.29
20251127T073811.00-0300,-29.206614,-50.896579,0.24,5,935.20,1.29
20251127T073812.00-0300,-29.206617,-50.896580,0.09,5,927.20,1.29
20251127T073813.00-0300,-29.206620,-50.896580,0.06,5,922.20,1.29
20251127T073814.00-0300,-29.206622,-50.896580,0.11,5,917.00,1.29
20251127T073815.00-0300,-29.206624,-50.896579,0.06,5,913.30,1.29
20251127T073816.00-0300,-29.206624,-50.896579,0.04,5,910.80,1.29
20251127T073817.00-0300,-29.206624,-50.896580,0.06,5,909.10,1.29
20251127T073818.00-0300,-29.206623,-50.896582,0.17,5,908.10,1.29
20251127T073819.00-0300,-29.206623,-50.896582,0.07,5,906.60,1.29
20251127T073820.00-0300,-29.206623,-50.896582,0.04,5,906.90,1.29
20251127T073822.00-0300,-29.206623,-50.896584,0.04,5,907.10,1.29
20251127T073823.00-0300,-29.206624,-50.896585,0.17,5,907.10,1.29
20251127T073824.00-0300,-29.206623,-50.896585,0.00,5,906.90,1.29
20251127T073825.00-0300,-29.206624,-50.896585,0.09,5,908.40,1.29
20251127T073826.00-0300,-29.206623,-50.896589,1.52,5,908.90,1.29
20251127T073827.00-0300,-29.206623,-50.896589,0.15,5,910.50,1.29
20251127T073828.00-0300,-29.206622,-50.896592,0.43,5,911.60,1.29
20251127T073829.00-0300,-29.206623,-50.896591,0.94,5,911.50,1.29
20251127T073830.00-0300,-29.206626,-50.896595,0.02,5,908.40,1.29
20251127T073831.00-0300,-29.206629,-50.896597,0.19,5,904.80,1.29
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251127T073837.00-0300,-29.206633,-50.896608,0.44,5,903.30,1.29
20251127T073838.00-0300,-29.206629,-50.896611,0.54,5,904.60,1.29
20251127T073839.00-0300,-29.206634,-50.896607,0.89,6,901.40,1.10
20251127T073840.00-0300,-29.206632,-50.896608,0.15,6,902.50,1.10
20251127T073841.00-0300,-29.206632,-50.896609,0.07,6,902.80,1.10
20251127T073842.00-0300,-29.206632,-50.896609,0.26,6,902.80,1.10
20251127T073843.00-0300,-29.206633,-50.896609,0.07,6,902.10,1.10
20251127T073844.00-0300,-29.206635,-50.896612,0.57,6,898.90,1.10
20251127T073845.00-0300,-29.206637,-50.896611,0.13,6,897.70,1.10
20251127T073846.00-0300,-29.206640,-50.896609,0.02,6,895.90,1.10
20251127T073847.00-0300,-29.206640,-50.896611,1.98,6,894.00,1.10
20251127T073848.00-0300,-29.206638,-50.896619,3.00,6,890.80,1.10
