20250927T114949.00-0300,-29.245950,-50.921472,1.28,8,789.20,0.99,,,
20250927T114950.00-0300,-29.245950,-50.921473,0.35,8,789.40,0.99,,,
20250927T114951.00-0300,-29.245950,-50.921477,0.54,8,789.20,0.99,,,
20250927T114952.00-0300,-29.245951,-50.921475,0.70,8,789.10,0.99,,,
20250927T114953.00-0300,-29.245954,-50.921475,0.50,8,788.10,0.99,,,
20250927T114954.00-0300,-29.245956,-50.921473,0.48,8,787.10,0.99,,,
20250927T114955.00-0300,-29.245959,-50.921471,0.80,8,786.60,0.99,,,
20250927T114957.00-0300,-29.245961,-50.921468,0.57,8,786.70,0.99,,,
20250927T114958.00-0300,-29.245963,-50.921466,0.59,8,786.60,0.99,,,
20250927T114959.00-0300,-29.245965,-50.921465,0.13,8,786.30,0.99,,,
20250927T115000.00-0300,-29.245967,-50.921465,0.19,8,785.20,0.99,,,
20250927T115001.00-0300,-29.245970,-50.921464,0.37,8,784.40,0.99,,,
20250927T115002.00-0300,-29.245970,-50.921466,0.41,8,784.50,0.99,,,
20250927T115003.00-0300,-29.245972,-50.921465,0.24,8,784.90,0.99,,,
20250927T115005.00-0300,-29.245974,-50.921467,0.44,8,785.00,0.99,,,
20250927T115006.00-0300,-29.245974,-50.921469,0.22,8,785.20,0.99,,,
20250927T115007.00-0300,-29.245975,-50.921469,0.09,7,785.00,1.67,,,
20250927T115008.00-0300,-29.245978,-50.921466,0.17,8,784.70,0.99,,,
20250927T115009.00-0300,-29.245979,-50.921466,0.54,8,784.20,0.99,,,
20250927T115010.00-0300,-29.245980,-50.921467,0.96,8,784.00,0.99,,,
20250927T115011.00-0300,-29.245981,-50.921468,1.20,8,783.80,0.99,,,
20250927T115012.00-0300,-29.245982,-50.921467,0.31,8,784.60,0.99,,,
20250927T115014.00-0300,-29.245984,-50.921467,0.37,8,784.00,0.99,,,
20250927T115015.00-0300,-29.245986,-50.921467,0.30,8,783.90,0.99,,,
20250927T115016.00-0300,-29.245987,-50.921467,0.48,7,784.70,1.67,,,
20250927T115017.00-0300,-29.245988,-50.921466,0.37,8,784.90,0.99,,,
20250927T115018.00-0300,-29.245991,-50.921465,0.57,8,784.00,0.99,,,
20250927T115019.00-0300,-29.245994,-50.921461,0.50,8,783.40,0.99,,,
20250927T115021.00-0300,-29.245997,-50.921460,0.67,8,783.40,0.99,,,
20250927T115022.00-0300,-29.245999,-50.921458,0.76,8,782.40,0.99,,,
20250927T115023.00-0300,-29.246001,-50.921458,1.02,8,781.90,0.99,,,
20250927T115024.00-0300,-29.246006,-50.921452,0.19,8,780.30,0.99,,,
20250927T115025.00-0300,-29.246007,-50.921452,0.37,8,780.00,0.99,,,
20250927T115026.00-0300,-29.246008,-50.921450,0.17,8,780.20,0.99,,,
20250927T115027.00-0300,-29.246010,-50.921447,0.13,8,779.60,0.99,,,
20250927T115028.00-0300,-29.246011,-50.921446,0.19,8,779.20,0.99,,,
20250927T115029.00-0300,-29.246012,-50.921445,0.22,8,779.10,0.99,,,
20250927T115031.00-0300,-29.246014,-50.921442,0.41,8,779.20,0.99,,,
20250927T115032.00-0300,-29.246016,-50.921440,0.04,8,778.50,0.99,,,
20250927T115033.00-0300,-29.246017,-50.921438,0.26,8,778.40,0.99,,,
20250927T115034.00-0300,-29.246018,-50.921436,0.80,8,778.70,0.99,,,
20250927T115035.00-0300,-29.246019,-50.921434,0.43,8,778.30,0.99,,,
