timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251023T000354.00-0300,-29.168091,-51.152370,1.09,9,823.20,2.08
20251023T000355.00-0300,-29.168092,-51.152372,1.61,8,823.50,2.22
20251023T000356.00-0300,-29.168089,-51.152372,0.74,8,823.60,2.21
20251023T000357.00-0300,-29.168086,-51.152370,0.26,8,823.40,2.21
20251023T000358.00-0300,-29.168084,-51.152370,0.22,8,823.50,2.21
20251023T000359.00-0300,-29.168083,-51.152369,0.20,9,823.40,2.07
20251023T000400.00-0300,-29.168078,-51.152367,0.48,9,823.70,2.07
20251023T000401.00-0300,-29.168074,-51.152366,0.67,9,823.70,2.07
20251023T000402.00-0300,-29.168072,-51.152365,0.11,9,823.70,2.07
20251023T000403.00-0300,-29.168070,-51.152364,0.26,9,823.60,2.07
20251023T000404.00-0300,-29.168069,-51.152364,1.19,9,823.80,2.07
20251023T000406.00-0300,-29.168067,-51.152363,1.19,9,823.80,2.07
20251023T000407.00-0300,-29.168066,-51.152360,0.98,9,823.60,2.07
20251023T000408.00-0300,-29.168059,-51.152356,0.83,9,823.40,2.07
20251023T000409.00-0300,-29.168061,-51.152357,0.43,9,823.10,2.07
20251023T000410.00-0300,-29.168059,-51.152355,0.20,9,822.90,2.07
20251023T000411.00-0300,-29.168052,-51.152352,0.28,9,821.20,2.07
20251023T000412.00-0300,-29.168049,-51.152350,0.74,9,820.30,2.06
20251023T000413.00-0300,-29.168045,-51.152347,0.78,9,819.60,2.06
20251023T000414.00-0300,-29.168046,-51.152344,0.89,9,819.00,2.06
20251023T000415.00-0300,-29.168046,-51.152341,0.80,9,818.50,2.06
20251023T000416.00-0300,-29.168042,-51.152338,0.93,9,818.00,2.06
20251023T000417.00-0300,-29.168038,-51.152334,0.74,9,817.50,2.06
20251023T000418.00-0300,-29.168034,-51.152330,0.74,9,816.90,2.06
20251023T000419.00-0300,-29.168028,-51.152326,1.07,9,816.20,2.06
20251023T000420.00-0300,-29.168026,-51.152326,0.78,9,815.90,2.06
20251023T000421.00-0300,-29.168019,-51.152321,1.13,9,815.00,2.06
20251023T000422.00-0300,-29.168009,-51.152315,0.89,9,814.20,2.06
20251023T000423.00-0300,-29.168008,-51.152314,0.81,9,814.00,2.06
20251023T000424.00-0300,-29.168007,-51.152310,1.59,9,813.20,2.06
20251023T000425.00-0300,-29.168009,-51.152304,2.44,9,812.20,2.06
20251023T000426.00-0300,-29.168010,-51.152302,2.65,9,811.80,2.06
20251023T000427.00-0300,-29.168009,-51.152294,2.83,9,810.60,2.06
20251023T000428.00-0300,-29.168015,-51.152296,2.37,9,810.60,2.05
20251023T000430.00-0300,-29.168008,-51.152287,2.19,9,810.20,2.05
20251023T000431.00-0300,-29.168007,-51.152286,1.70,9,809.40,2.05
20251023T000432.00-0300,-29.168006,-51.152283,1.54,9,809.20,2.05
20251023T000433.00-0300,-29.168004,-51.152281,1.43,9,808.40,2.05
20251023T000434.00-0300,-29.168003,-51.152281,1.63,9,808.40,2.05
20251023T000435.00-0300,-29.168006,-51.152283,2.26,9,808.50,2.05
20251023T000436.00-0300,-29.168009,-51.152285,1.22,9,808.90,2.05
20251023T000437.00-0300,-29.168014,-51.152291,1.30,9,809.70,2.05
20251023T000438.00-0300,-29.168023,-51.152302,1.67,9,810.80,2.05
20251023T000439.00-0300,-29.168028,-51.152308,1.43,9,811.40,2.05
20251023T000440.00-0300,-29.168031,-51.152311,0.80,9,811.80,2.05
20251023T000441.00-0300,-29.168034,-51.152312,0.59,9,811.90,2.05
20251023T000442.00-0300,-29.168040,-51.152314,3.74,9,812.10,2.05
20251023T000443.00-0300,-29.168058,-51.152315,1.43,8,812.20,2.98
20251023T000444.00-0300,-29.168064,-51.152315,0.57,9,812.60,2.05
20251023T000445.00-0300,-29.168068,-51.152315,1.41,9,812.80,2.04
20251023T000446.00-0300,-29.168078,-51.152316,1.31,9,813.30,2.04
20251023T000447.00-0300,-29.168078,-51.152312,1.11,9,813.10,2.04
20251023T000448.00-0300,-29.168085,-51.152312,1.20,9,814.10,2.04
20251023T000449.00-0300,-29.168087,-51.152311,0.74,9,814.10,2.04
20251023T000450.00-0300,-29.168091,-51.152310,1.96,9,814.20,2.04
20251023T000451.00-0300,-29.168098,-51.152315,1.81,9,814.70,2.04
20251023T000452.00-0300,-29.168096,-51.152314,1.00,9,814.50,2.04
20251023T000453.00-0300,-29.168094,-51.152312,1.26,9,814.40,2.04
20251023T000454.00-0300,-29.168096,-51.152313,1.70,9,814.50,2.04
20251023T000456.00-0300,-29.168117,-51.152324,2.31,9,816.50,2.04
20251023T000457.00-0300,-29.168120,-51.152331,2.19,9,818.80,2.04
20251023T000458.00-0300,-29.168116,-51.152335,2.52,9,821.00,2.04
20251023T000459.00-0300,-29.168106,-51.152342,4.61,9,821.80,2.04
