timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251020T235246.00-0300,-29.167863,-51.152462,5.00,6,833.20,2.21
20251020T235247.00-0300,-29.167833,-51.152464,5.09,4,833.10,5.81
20251020T235248.00-0300,-29.167806,-51.152451,5.46,5,831.90,2.29
20251020T235249.00-0300,-29.167765,-51.152444,6.37,5,829.40,2.29
20251020T235250.00-0300,-29.167667,-51.152446,8.06,6,827.60,2.21
20251020T235251.00-0300,-29.167638,-51.152439,8.04,6,826.80,2.21
20251020T235252.00-0300,-29.167615,-51.152437,7.70,7,824.60,2.09
20251020T235253.00-0300,-29.167547,-51.152432,8.35,7,823.60,2.09
20251020T235254.00-0300,-29.167521,-51.152433,8.43,7,822.10,2.09
20251020T235256.00-0300,-29.167522,-51.152419,6.35,7,821.00,2.09
20251020T235257.00-0300,-29.167507,-51.152411,6.74,6,819.40,2.28
20251020T235258.00-0300,-29.167496,-51.152402,6.76,7,818.80,2.09
20251020T235259.00-0300,-29.167436,-51.152401,7.41,7,817.90,2.09
20251020T235300.00-0300,-29.167442,-51.152398,6.67,6,816.60,3.96
20251020T235301.00-0300,-29.167430,-51.152394,6.54,7,816.30,2.09
20251020T235302.00-0300,-29.167349,-51.152392,6.91,6,815.90,2.21
20251020T235303.00-0300,-29.167334,-51.152392,6.17,6,815.80,2.21
20251020T235304.00-0300,-29.167315,-51.152391,6.44,6,815.10,2.21
20251020T235305.00-0300,-29.167354,-51.152389,7.04,6,814.80,2.21
20251020T235316.00-0300,-29.167428,-51.152335,4.70,7,809.40,2.08
20251020T235317.00-0300,-29.167483,-51.152333,3.96,6,808.50,3.90
20251020T235318.00-0300,-29.167499,-51.152328,3.80,6,807.80,3.90
20251020T235319.00-0300,-29.167524,-51.152320,3.22,6,806.70,3.90
20251020T235320.00-0300,-29.167543,-51.152319,2.22,7,805.90,2.08
20251020T235321.00-0300,-29.167572,-51.152317,1.52,7,805.20,2.07
20251020T235322.00-0300,-29.167603,-51.152312,0.87,7,804.40,2.07
20251020T235323.00-0300,-29.167674,-51.152314,0.69,6,803.80,3.88
20251020T235324.00-0300,-29.167695,-51.152309,0.76,6,803.10,3.88
20251020T235325.00-0300,-29.167724,-51.152307,0.76,6,802.60,3.88
20251020T235326.00-0300,-29.167754,-51.152303,0.81,5,801.90,5.08
20251020T235327.00-0300,-29.167786,-51.152301,1.04,6,801.50,3.87
20251020T235328.00-0300,-29.167832,-51.152295,2.07,6,800.90,3.87
20251020T235329.00-0300,-29.167921,-51.152299,2.80,6,800.70,3.87
20251020T235330.00-0300,-29.167953,-51.152297,3.13,6,800.50,3.86
20251020T235332.00-0300,-29.168020,-51.152301,5.26,6,800.40,3.86
20251020T235333.00-0300,-29.168043,-51.152308,5.19,6,800.50,3.86
20251020T235334.00-0300,-29.168075,-51.152304,3.52,6,800.70,3.85
20251020T235335.00-0300,-29.168115,-51.152305,3.67,6,800.50,3.85
20251020T235336.00-0300,-29.168145,-51.152305,4.33,7,800.20,2.07
20251020T235337.00-0300,-29.168175,-51.152308,4.61,7,800.40,2.07
20251020T235338.00-0300,-29.168348,-51.152310,6.57,7,800.00,2.07
20251020T235339.00-0300,-29.168387,-51.152305,7.07,7,799.60,2.07
20251020T235340.00-0300,-29.168418,-51.152300,7.32,7,799.20,2.07
20251020T235341.00-0300,-29.168433,-51.152300,7.80,7,798.90,2.06
20251020T235342.00-0300,-29.168476,-51.152297,9.33,7,798.60,2.06
20251020T235343.00-0300,-29.168497,-51.152292,9.33,7,798.30,2.06
20251020T235344.00-0300,-29.168571,-51.152287,8.72,7,798.00,2.06
20251020T235345.00-0300,-29.168590,-51.152281,7.76,7,797.50,2.06
20251020T235346.00-0300,-29.168608,-51.152284,7.83,7,797.30,2.06
20251020T235347.00-0300,-29.168609,-51.152279,8.20,6,796.90,3.81
20251020T235348.00-0300,-29.168616,-51.152280,8.00,6,796.70,3.81
20251020T235349.00-0300,-29.168641,-51.152277,8.37,6,796.40,3.81
20251020T235350.00-0300,-29.168724,-51.152280,9.13,6,795.90,3.80
20251020T235351.00-0300,-29.168756,-51.152277,9.35,6,795.40,3.80
20251020T235352.00-0300,-29.168786,-51.152280,10.13,6,795.40,3.80
20251020T235353.00-0300,-29.168773,-51.152278,10.19,6,795.40,3.79
20251020T235354.00-0300,-29.168847,-51.152273,11.20,6,795.00,3.79
20251020T235355.00-0300,-29.168870,-51.152272,9.65,6,794.70,5.03
20251020T235356.00-0300,-29.168922,-51.152265,10.13,7,794.40,2.06
20251020T235357.00-0300,-29.168954,-51.152266,10.87,6,794.50,2.19
20251020T235358.00-0300,-29.168984,-51.152266,11.39,6,794.50,2.19
20251020T235359.00-0300,-29.168891,-51.152262,10.69,6,794.70,2.19
20251020T235400.00-0300,-29.168921,-51.152265,10.96,6,794.80,2.19
20251020T235401.00-0300,-29.168948,-51.152270,11.33,7,795.00,2.05
20251020T235402.00-0300,-29.168897,-51.152271,11.80,7,795.50,2.05
20251020T235403.00-0300,-29.168918,-51.152275,11.95,7,795.60,2.05
20251020T235404.00-0300,-29.168945,-51.152282,11.45,7,796.00,2.05
20251020T235405.00-0300,-29.168865,-51.152279,9.50,6,796.00,2.18
20251020T235407.00-0300,-29.168920,-51.152292,9.70,6,796.20,2.18
20251020T235408.00-0300,-29.168849,-51.152288,9.83,6,796.60,2.18
20251020T235409.00-0300,-29.168878,-51.152292,10.26,6,796.60,2.18
20251020T235410.00-0300,-29.168907,-51.152295,10.52,6,796.70,2.18
20251020T235411.00-0300,-29.168889,-51.152295,10.63,7,796.80,2.18
20251020T235412.00-0300,-29.168860,-51.152304,11.74,7,797.70,2.05
20251020T235413.00-0300,-29.168804,-51.152313,11.00,7,798.70,2.05
20251020T235414.00-0300,-29.168784,-51.152326,9.83,6,799.70,3.73
20251020T235415.00-0300,-29.168705,-51.152336,8.28,6,800.90,3.73
20251020T235416.00-0300,-29.168619,-51.152346,7.56,6,802.00,3.73
20251020T235417.00-0300,-29.168523,-51.152368,8.00,6,802.70,3.73
20251020T235418.00-0300,-29.168405,-51.152375,6.07,6,803.60,3.72
20251020T235419.00-0300,-29.168303,-51.152383,4.61,6,804.70,3.72
20251020T235420.00-0300,-29.168182,-51.152390,3.24,6,805.60,3.72
20251020T235421.00-0300,-29.168085,-51.152394,2.30,6,806.30,3.71
20251020T235422.00-0300,-29.167964,-51.152400,1.11,6,807.20,3.71
20251020T235423.00-0300,-29.167916,-51.152410,1.11,6,808.00,3.71
20251020T235424.00-0300,-29.167815,-51.152416,0.94,6,808.80,3.71
20251020T235425.00-0300,-29.167721,-51.152419,1.54,6,809.30,3.70
20251020T235426.00-0300,-29.167456,-51.152415,4.19,7,810.10,2.04
20251020T235427.00-0300,-29.167375,-51.152412,4.54,7,810.70,2.04
20251020T235428.00-0300,-29.167281,-51.152410,5.44,7,811.20,2.04
20251020T235429.00-0300,-29.167220,-51.152410,4.96,6,812.20,3.69
20251020T235430.00-0300,-29.167116,-51.152412,6.67,6,812.70,3.69
20251020T235431.00-0300,-29.167025,-51.152412,7.11,6,813.40,3.69
20251020T235432.00-0300,-29.167127,-51.152416,6.07,7,813.50,2.04
20251020T235433.00-0300,-29.167044,-51.152415,7.22,7,814.00,2.04
20251020T235434.00-0300,-29.166954,-51.152415,8.74,7,814.40,2.04
20251020T235435.00-0300,-29.166762,-51.152412,11.20,6,814.80,2.25
20251020T235436.00-0300,-29.166677,-51.152412,12.37,7,815.00,2.04
20251020T235437.00-0300,-29.166585,-51.152412,13.67,7,815.10,2.04
20251020T235438.00-0300,-29.166521,-51.152409,13.04,6,815.40,3.67
20251020T235439.00-0300,-29.166454,-51.152403,12.67,6,815.80,3.66
20251020T235440.00-0300,-29.166385,-51.152403,12.85,6,816.40,3.66
20251020T235441.00-0300,-29.166491,-51.152412,11.98,7,816.50,2.03
20251020T235442.00-0300,-29.166435,-51.152412,12.08,7,816.90,2.03
20251020T235444.00-0300,-29.166420,-51.152426,11.63,7,817.30,2.03
20251020T235445.00-0300,-29.166369,-51.152426,11.52,6,818.00,2.24
20251020T235446.00-0300,-29.166308,-51.152429,12.59,6,819.00,2.24
20251020T235447.00-0300,-29.166374,-51.152444,12.26,6,820.00,2.24
20251020T235448.00-0300,-29.166332,-51.152446,12.06,6,820.50,2.24
20251020T235449.00-0300,-29.166289,-51.152445,11.63,6,821.40,2.24
20251020T235450.00-0300,-29.166184,-51.152447,11.26,7,823.20,2.03
20251020T235451.00-0300,-29.166146,-51.152445,11.04,7,823.90,2.03
20251020T235452.00-0300,-29.166099,-51.152444,11.13,7,824.70,2.03
20251020T235453.00-0300,-29.166058,-51.152449,11.15,7,825.40,2.03
20251020T235454.00-0300,-29.166020,-51.152444,10.69,7,826.40,2.03
20251020T235455.00-0300,-29.165974,-51.152438,11.33,7,827.40,2.03
20251020T235456.00-0300,-29.165885,-51.152437,13.00,7,827.70,2.03
20251020T235457.00-0300,-29.165831,-51.152424,13.58,6,827.50,2.24
20251020T235458.00-0300,-29.165789,-51.152411,13.17,7,827.80,2.03
20251020T235459.00-0300,-29.165757,-51.152405,12.52,6,828.40,3.61
20251020T235500.00-0300,-29.165717,-51.152393,12.04,7,829.00,2.02
20251020T235501.00-0300,-29.165675,-51.152383,11.95,7,829.50,2.02
20251020T235502.00-0300,-29.165718,-51.152375,10.67,7,830.00,2.02
20251020T235503.00-0300,-29.165679,-51.152368,10.67,6,831.20,3.60
20251020T235504.00-0300,-29.165650,-51.152363,10.87,7,832.50,2.02
20251020T235505.00-0300,-29.165709,-51.152362,11.45,7,833.10,2.02
20251020T235506.00-0300,-29.165669,-51.152356,11.67,7,834.10,2.02
20251020T235507.00-0300,-29.165644,-51.152356,11.96,5,835.20,4.04
20251020T235508.00-0300,-29.165593,-51.152361,12.17,7,836.30,2.02
20251020T235509.00-0300,-29.165562,-51.152357,11.74,7,837.40,2.02
20251020T235510.00-0300,-29.165533,-51.152355,11.69,7,838.30,2.02
20251020T235511.00-0300,-29.165612,-51.152357,9.91,7,838.80,2.02
20251020T235512.00-0300,-29.165580,-51.152351,9.50,7,839.80,2.02
20251020T235513.00-0300,-29.165550,-51.152343,9.11,7,840.80,2.02
20251020T235514.00-0300,-29.165436,-51.152337,10.85,7,841.80,2.02
