timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251118T084833.00-0300,-29.216946,-50.896890,0.43,10,794.00,1.09
20251118T084834.00-0300,-29.216945,-50.896888,0.19,10,793.60,1.09
20251118T084835.00-0300,-29.216945,-50.896886,0.07,10,793.20,1.09
20251118T084836.00-0300,-29.216943,-50.896885,0.09,10,792.90,1.09
20251118T084837.00-0300,-29.216942,-50.896884,0.09,10,792.60,1.09
20251118T084838.00-0300,-29.216941,-50.896882,0.11,10,791.90,1.09
20251118T084839.00-0300,-29.216941,-50.896878,0.11,12,791.60,0.95
20251118T084840.00-0300,-29.216939,-50.896876,0.26,12,791.50,0.95
20251118T084841.00-0300,-29.216937,-50.896875,0.13,12,791.30,0.95
20251118T084842.00-0300,-29.216938,-50.896876,0.06,12,791.30,0.95
20251118T084843.00-0300,-29.216940,-50.896878,0.09,12,791.10,0.95
20251118T084844.00-0300,-29.216940,-50.896878,0.02,12,791.00,0.95
20251118T084845.00-0300,-29.216941,-50.896879,0.02,12,790.90,0.95
20251118T084846.00-0300,-29.216940,-50.896878,0.04,12,790.70,0.95
20251118T084847.00-0300,-29.216939,-50.896878,0.09,12,790.50,0.95
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251118T084853.00-0300,-29.216937,-50.896878,0.11,12,789.70,0.95
20251118T084854.00-0300,-29.216937,-50.896878,0.07,12,789.60,0.95
20251118T084855.00-0300,-29.216937,-50.896877,0.13,12,789.50,0.94
20251118T084856.00-0300,-29.216937,-50.896876,0.04,12,789.40,0.94
20251118T084857.00-0300,-29.216938,-50.896876,0.04,12,789.30,0.94
20251118T084858.00-0300,-29.216938,-50.896875,0.02,12,789.20,0.94
20251118T084859.00-0300,-29.216939,-50.896875,0.07,12,789.10,1.00
20251118T084900.00-0300,-29.216939,-50.896876,0.04,12,789.10,1.00
20251118T084901.00-0300,-29.216939,-50.896876,0.00,12,788.90,1.00
20251118T084902.00-0300,-29.216939,-50.896876,0.04,12,788.80,1.00
20251118T084903.00-0300,-29.216939,-50.896875,0.13,12,788.70,1.00
20251118T084904.00-0300,-29.216939,-50.896875,0.04,12,788.60,1.00
20251118T084905.00-0300,-29.216940,-50.896876,0.00,12,788.40,1.00
20251118T084907.00-0300,-29.216940,-50.896877,0.06,12,788.30,1.03
20251118T084908.00-0300,-29.216939,-50.896877,0.09,12,788.10,1.00
20251118T084909.00-0300,-29.216940,-50.896877,0.09,12,787.90,1.00
20251118T084910.00-0300,-29.216940,-50.896877,0.06,12,787.90,1.05
20251118T084911.00-0300,-29.216940,-50.896877,0.13,12,787.70,1.00
20251118T084912.00-0300,-29.216939,-50.896877,0.13,12,787.60,1.00
20251118T084913.00-0300,-29.216939,-50.896877,0.06,12,787.50,1.00
20251118T084914.00-0300,-29.216939,-50.896876,0.11,12,787.30,1.00
20251118T084915.00-0300,-29.216939,-50.896876,0.07,12,787.20,1.00
20251118T084916.00-0300,-29.216939,-50.896877,0.06,12,787.20,1.00
