timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251024T154101.00-0300,-29.246717,-50.921686,3.39,8,792.40,1.33
20251024T154102.00-0300,-29.246710,-50.921680,3.59,8,792.00,1.33
20251024T154103.00-0300,-29.246699,-50.921665,7.39,8,792.50,1.33
20251024T154104.00-0300,-29.246682,-50.921651,8.30,8,792.50,1.33
20251024T154105.00-0300,-29.246661,-50.921639,9.13,8,793.50,1.33
20251024T154106.00-0300,-29.246639,-50.921630,9.89,8,793.70,1.33
20251024T154107.00-0300,-29.246617,-50.921617,10.13,8,795.60,1.33
20251024T154108.00-0300,-29.246590,-50.921609,10.89,8,795.80,1.33
20251024T154109.00-0300,-29.246570,-50.921606,7.09,8,796.90,1.33
20251024T154110.00-0300,-29.246546,-50.921592,10.07,8,796.40,1.33
20251024T154111.00-0300,-29.246515,-50.921596,11.69,8,797.10,1.33
20251024T154112.00-0300,-29.246486,-50.921593,10.41,8,797.00,1.33
20251024T154113.00-0300,-29.246461,-50.921585,10.06,8,796.40,1.33
20251024T154114.00-0300,-29.246433,-50.921581,10.65,8,796.30,1.33
20251024T154115.00-0300,-29.246407,-50.921575,10.30,8,796.60,1.33
20251024T154116.00-0300,-29.246381,-50.921569,10.61,8,796.80,1.33
20251024T154117.00-0300,-29.246354,-50.921561,10.56,8,796.50,1.33
20251024T154118.00-0300,-29.246325,-50.921552,10.91,8,795.60,1.33
20251024T154119.00-0300,-29.246298,-50.921545,10.04,8,794.90,1.33
20251024T154120.00-0300,-29.246270,-50.921542,10.48,8,794.70,1.33
20251024T154121.00-0300,-29.246245,-50.921530,11.07,8,793.90,1.50
20251024T154122.00-0300,-29.246215,-50.921520,12.37,8,792.90,1.33
20251024T154123.00-0300,-29.246182,-50.921509,13.19,8,792.40,1.33
20251024T154124.00-0300,-29.246149,-50.921495,14.00,8,791.70,1.33
20251024T154125.00-0300,-29.246116,-50.921482,13.24,8,791.30,1.33
20251024T154126.00-0300,-29.246085,-50.921466,13.58,8,791.00,1.33
20251024T154127.00-0300,-29.246061,-50.921443,11.96,8,790.70,1.33
20251024T154128.00-0300,-29.246049,-50.921418,9.57,8,790.40,1.33
20251024T154129.00-0300,-29.246045,-50.921397,7.56,8,790.20,1.33
20251024T154130.00-0300,-29.246039,-50.921392,2.63,8,790.10,1.33
20251024T154131.00-0300,-29.246039,-50.921383,3.74,8,789.80,1.33
20251024T154132.00-0300,-29.246037,-50.921379,2.98,7,789.30,1.50
20251024T154134.00-0300,-29.246059,-50.921374,0.69,7,789.50,1.50
20251024T154135.00-0300,-29.246066,-50.921374,0.78,7,789.00,1.50
20251024T154136.00-0300,-29.246067,-50.921373,0.37,8,788.80,1.33
20251024T154137.00-0300,-29.246069,-50.921377,1.91,8,788.60,1.33
20251024T154138.00-0300,-29.246071,-50.921377,2.11,8,787.90,1.33
20251024T154139.00-0300,-29.246066,-50.921410,4.82,8,789.10,1.33
20251024T154140.00-0300,-29.246071,-50.921436,5.30,8,789.90,1.34
20251024T154141.00-0300,-29.246085,-50.921462,4.22,8,792.60,1.34
20251024T154142.00-0300,-29.246083,-50.921469,2.76,8,793.10,1.34
20251024T154143.00-0300,-29.246076,-50.921465,0.15,8,793.80,1.34
20251024T154144.00-0300,-29.246078,-50.921462,2.61,8,794.20,1.34
20251024T154145.00-0300,-29.246091,-50.921457,5.89,8,794.90,1.34
20251024T154146.00-0300,-29.246106,-50.921450,6.69,8,794.30,1.34
20251024T154147.00-0300,-29.246123,-50.921445,6.04,8,794.30,1.34
20251024T154148.00-0300,-29.246140,-50.921443,6.54,8,794.00,1.34
20251024T154149.00-0300,-29.246159,-50.921442,6.17,8,794.40,1.34
20251024T154150.00-0300,-29.246180,-50.921452,6.44,8,795.40,1.34
20251024T154151.00-0300,-29.246175,-50.921464,6.33,8,793.50,1.34
